Traces,Same Bit 0,Same Bit 1,Same Bit 2,Same Bit 3,Same Bit 4,Same Bit 5,Same Bit 6,Same Bit 7,Same Sum,Same Prod,Same Max,Different Bit 0,Different Bit 1,Different Bit 2,Different Bit 3,Different Bit 4,Different Bit 5,Different Bit 6,Different Bit 7,Different Sum,Different Prod,Different Max
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0
4,0.003,0.003,0.001,0.002,0.003,0.004,0.004,0.005,0.008,0.008,0.0,0.002,0.0,0.005,0.003,0.005,0.0,0.001,0.002,0.003,0.003,0.0
5,0.003,0.005,0.003,0.007,0.008,0.008,0.004,0.004,0.004,0.004,0.001,0.005,0.01,0.006,0.005,0.005,0.005,0.001,0.0,0.003,0.003,0.006
6,0.008,0.003,0.003,0.006,0.007,0.005,0.005,0.005,0.0,0.0,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.002,0.007,0.008,0.005
7,0.006,0.003,0.001,0.009,0.003,0.006,0.006,0.007,0.004,0.004,0.003,0.004,0.003,0.007,0.004,0.004,0.007,0.004,0.002,0.003,0.002,0.005
8,0.005,0.006,0.004,0.007,0.004,0.006,0.004,0.005,0.004,0.004,0.008,0.003,0.005,0.007,0.001,0.007,0.004,0.001,0.002,0.005,0.005,0.004
9,0.003,0.007,0.002,0.004,0.002,0.003,0.005,0.009,0.007,0.007,0.007,0.002,0.004,0.005,0.004,0.007,0.006,0.003,0.005,0.005,0.005,0.002
